president,nationalism,legislation,2,3,4,peace,6,war,military,war and economics,10,international diplomacy,12,13,14,15,16,provision,18,19,20,21,22,basic needs,24
Franklin-D-Roosevelt-1940,0.051224227,0.023195876,0.0080541237,0.017719072,0.019652062,0.086018041,0.0077319588,0.069587629,0,0.0006443299,0.052835052,0,0.0096649485,0.0054768041,0,0.0035438144,0.03125,0.0045103093,0.010309278,0.012242268,0.013853093,0.006443299,0.0099871134,0.019974227,0.037693299
Franklin-D-Roosevelt-1941,0.042388614,0.0061881188,0.018873762,0.0064975248,0.027537129,0.071163366,0.0083539604,0.089727723,0.0068069307,0.016089109,0.018564356,0,0.019183168,0,0.026608911,0,0.033415842,0,0.01299505,0.011757426,0.014542079,0.0089727723,0.0071163366,0.0086633663,0.035581683
Franklin-D-Roosevelt-1942,0.071028588,0.016209844,0.0053050398,0,0.015915119,0.03919835,0,0.14058355,0.0064839375,0.012673151,0.010904804,0,0.022693781,0.002063071,0.0011788977,0,0.0097259063,0.0050103154,0.016209844,0.02858827,0.012083702,0.020335986,0.0082522841,0.0032419688,0.041556145
Franklin-D-Roosevelt-1943,0.04735062,0.017361894,0,0,0.012175874,0.061104848,0.014430665,0.13370913,0,0.012852311,0.0083427283,0,0.0072153326,0.00045095829,0.014205186,0,0.016685457,0,0.016685457,0.024577227,0.019616685,0.024351747,0,0,0.063810598
Franklin-D-Roosevelt-1944,0.049399563,0.013919214,0.0021834061,0.029748908,0.020196507,0.059224891,0.0054585153,0.076146288,0.0051855895,0.028384279,0.031113537,0.00054585153,0.021015284,0.0038209607,0,0.0043668122,0.018286026,0,0,0.017740175,0.011462882,0.016648472,0.010644105,0.018831878,0.060043668
Franklin-D-Roosevelt-1945,0.04152553,0.013549116,0.0043909171,0.019947309,0.021452766,0.048300088,0.002760005,0.11479112,0.023460043,0.027474595,0.017312759,0.0022581859,0.01129093,0.0097854723,0.0033872789,0.0035127337,0.0096600176,0,0.017187304,0.014552754,0.0076527412,0.026094593,0.0070254673,0.013800025,0.052691005
Harry-S-Truman-1946,0.0092931888,0.0035132787,0.0015110876,0.065278985,0.023724075,0.020777455,0.0028710665,0.014430887,0.01371312,0.15571758,0.072834423,0,0.0030221752,0.043405991,0.0033621699,0.0078576555,0.019530807,0,0.00045332628,0,0,0.015337539,0.020021911,0.016395301,0.028786219
Harry-S-Truman-1947,0.013959823,0,0.0095335376,0.052093973,0.042730678,0.033367382,0.0049370106,0.019748042,0.014470548,0.059073885,0.081375553,0.0042560436,0.0080013619,0.02145046,0.010384746,0.0039155601,0.053966633,0,0,0,0,0.022301668,0.010895472,0.020769493,0.037282942
Harry-S-Truman-1948,0.010898083,0,0,0.048032291,0.024823411,0.045005045,0,0.039959637,0,0.047023209,0.066397578,0,0.014328961,0.034106963,0.0209889,0,0.033299697,0,0,0.01493441,0.0010090817,0.020383451,0.0030272452,0.053481332,0.027447023
Harry-S-Truman-1949,0.023123123,0.0024024024,0.0003003003,0.055555556,0.025825826,0.033933934,0,0.038738739,0,0.03993994,0.081081081,0,0.0066066066,0.026126126,0.014714715,0,0.035135135,0,0.0033033033,0.0063063063,0.0033033033,0.023423423,0.010810811,0.041141141,0.033633634
Harry-S-Truman-1950,0.029512146,0.0012045774,0,0.039148765,0.031720538,0.052198354,0.0054205983,0.053804457,0,0.024292311,0.06022887,0.0012045774,0.0094358563,0.019072475,0.015659506,0,0.022485445,0.0030114435,0.0008030516,0.0086328047,0,0.030917486,0,0.049789199,0.026701466
Harry-S-Truman-1951,0.040931184,0.0076745971,0,0.0058838578,0.019953952,0.068559734,0,0.13788693,0,0.0086978767,0.019442313,0,0.0043489383,0.007930417,0.024558711,0,0.022000512,0.0046047583,0,0.0071629573,0.007930417,0.046047583,0.0035814786,0.012535175,0.037349706
Harry-S-Truman-1952,0.036472404,0,0.0025086839,0.020455423,0.017753763,0.068120417,0.014666152,0.094172134,0,0.012929371,0.03666538,0,0,0.011771517,0.021420301,0,0.020069471,0.011771517,0.010613663,0.014666152,0.006754149,0.03801621,0.003666538,0.016016982,0.033963721
Dwight-D-Eisenhower-1953,0.022569701,0,0,0.043369228,0.031863107,0.040418941,0.0013276294,0.044254315,0.01076855,0.024339873,0.06328367,0,0.014898953,0.026110046,0.014751438,0.011801151,0.040123912,0,0.013718838,0.0054580322,0.00044254315,0.033928308,0.022127157,0.029797905,0.037911196
Harry-S-Truman-1953,0.046135856,0.0062719252,0.0046773679,0.0065908366,0.027745296,0.067077708,0.0013819496,0.11342617,0,0.010736685,0.021473371,0.001169342,0.011055597,0.0047836717,0.032528968,0,0.020304029,0.0014882534,0.002870203,0.014351015,0.0096736473,0.024768789,0.0037206336,0.02200489,0.051025832
Dwight-D-Eisenhower-1954,0.012207703,0.0012035763,0.0024071527,0.057943604,0.028541953,0.035419532,0.0017193948,0.042469051,0,0.024931224,0.086485557,0.0012035763,0.0085969739,0.033528198,0.01323934,0.0051581843,0.025962861,0,0,0.007565337,0,0.058631362,0.020116919,0.039889959,0.037654746
Dwight-D-Eisenhower-1955,0.0056681309,0,0.00028340655,0.054839167,0.020121865,0.031033017,0.00014170327,0.043077795,0.0092107128,0.025364886,0.074677625,0.0082187899,0.010627746,0.048887629,0.02465637,0.010344339,0.023947853,0,0,0.0039676917,0,0.065750319,0.014595437,0.044494828,0.033725379
Dwight-D-Eisenhower-1956,0.0050963331,0.00024860162,0.0027346178,0.053573648,0.020509633,0.030329397,0.0065879428,0.034928527,0.01230578,0.023617154,0.080671224,0.013175886,0.0082038533,0.041392169,0.023990056,0.0049720323,0.019266625,0,0.0065879428,0.0052206339,0,0.061155998,0.012554382,0.041267868,0.033064015
Dwight-D-Eisenhower-1957,0.013871687,0,0.0024770869,0.035917761,0.038890265,0.043349022,0.0039633391,0.049789448,0.0029725043,0.014367104,0.068615308,0.0071835521,0.0113946,0.012137726,0.040624226,0.0024770869,0.041119643,0,0,0.0044587565,0.0056973,0.042853604,0.0052018826,0.050532574,0.034431509
Dwight-D-Eisenhower-1958,0.021103218,0,0,0.030923527,0.034057668,0.053698287,0,0.041579607,0,0.018178019,0.035311325,0,0.011909737,0.020685332,0.045758462,0.005014626,0.020685332,0.002507313,0.0039699122,0.022147931,0.0077308817,0.073338905,0.010865023,0.024446302,0.046594233
